"","X1.1_ActivityCycle","MatingSystem","NaturalPredators","NumMales","X6.1_DietBreadth"
"Philantomba_maxwellii","2","1","2","4","7"
"Philantomba_monticola","3","1","2","4","3"
"Potamochoerus_larvatus","1","2","2","2","7"
"Potamochoerus_porcus","2",NA,"2","2","5"
"Procapra_picticaudata",NA,NA,"1","3",NA
"Pseudois_nayaur","3",NA,"1","3","2"
"Pudu_puda","2","2","2","4","4"
"Rangifer_tarandus","3","2","2","3","3"
"Raphicerus_campestris","3",NA,"2","4","5"
"Raphicerus_melanotis","1",NA,"2","4","2"
"Raphicerus_sharpei","1",NA,"2","4","3"
"Redunca_arundinum","2","1","2","1","2"
"Redunca_fulvorufula","2","2","2","2","1"
"Redunca_redunca","2",NA,"2","3","1"
"Rhinoceros_unicornis","2",NA,"1","4","3"
"Rucervus_duvaucelii","2","2","1","1","2"
"Rupicapra_pyrenaica",NA,NA,"1","3",NA
"Rupicapra_rupicapra",NA,"2","2","3","2"
"Rusa_timorensis","1","2","1","3","2"
"Rusa_unicolor","2","2","1","3","3"
"Sus_barbatus","2",NA,"2","3","6"
"Sus_cebifrons","2",NA,"1","2","6"
"Sus_philippensis","2",NA,"2","2","6"
"Sus_scrofa","2","2","2","3","5"
"Sylvicapra_grimmia","2",NA,"2","4","4"
"Syncerus_caffer","2","3","2","1","1"
"Tapirus_bairdii","2","1","1","4","4"
"Tapirus_pinchaque","2",NA,"1","4","4"
"Tapirus_terrestris","2",NA,"1","4","5"
"Taurotragus_oryx","2",NA,"2","1","3"
"Tayassu_pecari","2",NA,"1","1","6"
"Tragelaphus_angasii","2",NA,"2","1","4"
"Tragelaphus_buxtoni","2","2","1","3","1"
"Tragelaphus_eurycerus","2",NA,"1","1","4"
"Tragelaphus_imberbis",NA,NA,"1","3","3"
"Tragelaphus_scriptus","2",NA,"1","3","4"
"Tragelaphus_spekii","2",NA,"2","3","2"
"Tragelaphus_strepsiceros","3",NA,"2","3","2"
"Tragulus_javanicus","1",NA,"2","3","3"
"Tragulus_napu","1",NA,"2","4","3"
"Vicugna_vicugna","3","2","1","2","1"
