CanonicalName,BinomialName,Order,Family,Genus,Species,Domestication,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X13.1_AdultHeadBodyLen_mm,X3.1_AgeatFirstBirth_d,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X17.1_MaxLongevity_m,X21.1_PopulationDensity_n_per_km2,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X6.2_TrophicLevel,X25.1_WeaningAge_d,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MatingSystem,YearRoundBreeding,AVGBodyMass,DevelopmentStrategy,HeadOrnaments,Lifespan,CarryWeight,AVGMovingSpeed,AVGTravelDistance,PredationPressure,PopulationDensity
Aepyceros_melampus,Aepyceros_melampus,Artiodactyla,Bovidae,Aepyceros,melampus,0,3,52591.69,1420,730,2,196.74,1,1.97,365,0.98,213,13.36,498.97,15.25,4,1,150,2.08,2,1,1,2,2,52,2,1,17,10518.338,88,1.97,0,1.876
Alcelaphus_buselaphus,Alcelaphus_buselaphus,Artiodactyla,Bovidae,Alcelaphus,buselaphus,0,3,160937.86,1974.99,927.7,2,242.66,1,2.73,345.5,1,240,3.65,827.69,20,2,1,188.73,6.4,2,1,1,2,2,160,2,0,20,32187.572,80,2.73,0,0.412
Alces_alces,Alces_alces,Artiodactyla,Cervidae,Alces,alces,0,2,461900.76,2930.47,1216.66,1,235,1,71.75,365,1.25,324,0.4,668.2,1,4,1,98.85,9.22,1,1,4,2,2,461,1,1,27,92380.152,9.6,71.75,1,0.586
Ammotragus_lervia,Ammotragus_lervia,Artiodactyla,Bovidae,Ammotragus,lervia,0,NA,94202.22,1449.99,407.58,2,156.24,1,7.06,212.91,1.22,252,NA,507.09,NA,3,1,121.66,3.76,2,1,2,2,2,94,NA,0,20,18840.444,55,7.06,0,1.967
Antidorcas_marsupialis,Antidorcas_marsupialis,Artiodactyla,Bovidae,Antidorcas,marsupialis,0,2,33571.24,1055,NA,2,169.49,1,NA,365,1,240,10.69,331.73,NA,NA,1,57.45,1,2,1,1,NA,NA,33,2,0,19,6714.248,90,NA,1,1.956
Antilocapra_americana,Antilocapra_americana,Artiodactyla,Antilocapridae,Antilocapra,americana,0,2,47450.01,1310,365,2,247.99,1,8.05,365,1.93,144,0.82,534.68,12,NA,1,87.54,1.88,2,1,1,2,2,47,1,0,11,9490.002,40,8.05,0,3.115
Antilope_cervicapra,Antilope_cervicapra,Artiodactyla,Bovidae,Antilope,cervicapra,0,NA,36301.1,1250,669.16,5,166.59,1,0.62,212.56,1.22,243,4.25,700.04,30,NA,1,59.5,1.44,2,1,2,NA,NA,36,1,1,21,7260.22,80,0.62,0,3.542
Axis_axis,Axis_axis,Artiodactyla,Cervidae,Axis,axis,0,NA,69499.99,NA,NA,NA,227.49,NA,0.67,425.83,1.01,249.6,6.69,543.68,NA,NA,NA,121.66,2.76,2,1,1,NA,2,69,NA,1,20,13899.998,65,0.67,0,26.805
Axis_porcinus,Axis_porcinus,Artiodactyla,Cervidae,Axis,porcinus,0,NA,37448.29,NA,NA,3,220.13,NA,0.52,NA,1,240,16.5,464.04,1.8,NA,1,NA,1.48,1,2,4,2,2,37,1,1,20,7489.658,NA,0.52,0,11.418
Bison_bison,Bison_bison,Artiodactyla,Bovidae,Bison,bison,0,2,624577.07,2849.24,1095,2,283.17,2,47.39,399,0.98,396,0.28,921.77,30,NA,1,287.32,12.48,2,1,3,2,2,624,1,0,25,124915.414,57.5,47.39,0,0.486
Bison_bonasus,Bison_bonasus,Artiodactyla,Bovidae,Bison,bonasus,0,2,675876.7,2900,1068.38,2,265.99,2,7.91,638.75,1,324,0.88,841.82,35,NA,1,287.32,13.5,2,1,3,2,2,675,1,0,27,135175.34,65,7.91,0,1.235
Blastocerus_dichotomus,Blastocerus_dichotomus,Artiodactyla,Cervidae,Blastocerus,dichotomus,0,2,112518.53,1720,NA,3,272.37,1,NA,NA,0.98,NA,0.12,NA,3,NA,1,NA,4.48,NA,2,2,NA,NA,112,NA,1,NA,22503.706,NA,NA,0,0.865
