CanonicalName,BinomialName,Order,Family,Genus,Species,Domestication,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X13.1_AdultHeadBodyLen_mm,X3.1_AgeatFirstBirth_d,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X17.1_MaxLongevity_m,X21.1_PopulationDensity_n_per_km2,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X6.2_TrophicLevel,X25.1_WeaningAge_d,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MatingSystem,YearRoundBreeding,AVGBodyMass,DevelopmentStrategy,HeadOrnaments,Lifespan,CarryWeight,AVGMovingSpeed,AVGTravelDistance,PredationPressure,PopulationDensity
Bos_frontalis_gaurus,Bos_frontalis,Artiodactyla,Bovidae,Bos,frontalis,1,2,800143.05,2700,NA,3,273.75,NA,NA,403.02,1.22,314.4,0.54,610.97,40,NA,1,186.67,16,2,1,2,2,1,800,2,0,26,160028.61,56,78,0,0.522
Bos_grunniens_mutus,Bos_grunniens,Artiodactyla,Bovidae,Bos,grunniens,1,3,5.00E+05,NA,NA,2,273.75,NA,NA,NA,1,267,0.035,755.15,110,NA,1,243.33,5.9,2,1,3,2,2,500,2,0,25,1.00E+05,40,50,0,0.897
Bos_javanicus,Bos_javanicus,Artiodactyla,Bovidae,Bos,javanicus,1,2,635974.34,2075,912.5,2,296.78,1,NA,NA,1.22,318.96,0.75,797.31,40,NA,1,287.74,12.7,2,1,2,2,2,635,2,0,26,127194.868,50,44,1,0.083
Bos_taurus_primigenius,Bos_taurus,Artiodactyla,Bovidae,Bos,taurus,1,3,618642.42,NA,NA,NA,280.48,NA,10.04,NA,1,240,71,755.15,38,NA,NA,NA,17.6,2,1,2,2,1,618,2,0,26,123728.484,40,10.04,NA,NA
Boselaphus_tragocamelus,Boselaphus_tragocamelus,Artiodactyla,Bovidae,Boselaphus,tragocamelus,0,NA,182253.04,2000,912.5,5,248.49,NA,NA,400.5,1.39,260.4,2.39,NA,NA,NA,1,NA,7.28,2,2,1,NA,1,182,2,1,21,36450.608,48,15.05,0,8.984
Bubalus_bubalis_arnee,Bubalus_bubalis,Artiodactyla,Bovidae,Bubalus,bubalis,1,2,929500.97,2649.52,NA,2,320,1,3.63,547.5,1.5,339,1.06,755.15,20,NA,1,240.31,14.8,2,1,3,2,NA,929,1,0,29,185900.194,48,3.63,NA,NA
Budorcas_taxicolor,Budorcas_taxicolor,Artiodactyla,Bovidae,Budorcas,taxicolor,0,NA,294515.33,1736,NA,3,235.6,1,NA,365,1.22,234.96,NA,928.08,14,4,1,118.55,5.88,1,2,1,NA,NA,294,NA,0,19,58903.066,NA,NA,0,0.83
Camelus_bactrianus,Camelus_bactrianus,Artiodactyla,Camelidae,Camelus,bactrianus,1,3,554515.91,NA,1460,2,397.99,1,NA,730,1.39,480,0.06,1330.6,6.2,NA,1,368.13,10,2,1,2,2,2,554,1,0,19,110903.182,53.5,100,0,0.471
Camelus_dromedarius,Camelus_dromedarius,Artiodactyla,Camelidae,Camelus,dromedarius,1,3,492714.47,NA,1651.62,3,386.51,1,196.32,614.41,0.98,480,0.98,1947.94,10,NA,1,389.38,10,2,2,2,2,2,492,1,0,40,98542.894,53.5,196.32,NA,NA
Capra_hircus_aegagrus,Capra_hircus,Artiodactyla,Bovidae,Capra,hircus,1,3,47386.47,NA,669.16,2,156,NA,98.3,365,1.45,249.6,7.58,498.97,20,3,1,158.04,1.4,2,1,1,2,2,47,2,0,20,9477.294,17,98.3,1,1.845
Capra_ibex,Capra_ibex,Artiodactyla,Bovidae,Capra,ibex,0,NA,69546.83,NA,912.5,2,167.5,1,NA,547.5,1.11,267.6,NA,838.54,NA,3,1,111.75,2.76,1,1,3,2,2,69,2,0,20,13909.366,NA,14.9,0,2.892
Capra_nubiana,Capra_nubiana,Artiodactyla,Bovidae,Capra,nubiana,0,NA,47763.72,NA,NA,NA,150,NA,NA,NA,1,204,NA,NA,NA,NA,NA,NA,1.88,2,1,3,2,2,47,1,0,20,9552.744,NA,7.75,0,1.631
Capra_pyrenaica,Capra_pyrenaica,Artiodactyla,Bovidae,Capra,pyrenaica,0,NA,60898.77,1200,NA,2,150,NA,0.64,NA,1.5,192,NA,NA,NA,3,1,NA,2.4,2,1,3,2,2,60,2,0,20,12179.754,NA,0.64,0,3.188
Capra_sibirica,Capra_sibirica,Artiodactyla,Bovidae,Capra,sibirica,0,NA,130000,NA,NA,NA,175,NA,NA,NA,NA,267,NA,NA,NA,NA,NA,NA,5.2,2,1,3,2,2,130,2,0,20,26000,NA,NA,0,3.421
Capreolus_capreolus,Capreolus_capreolus,Artiodactyla,Cervidae,Capreolus,capreolus,0,2,22502.01,NA,730,NA,196,1,0.52,365,1.79,204,7.61,400.97,NA,NA,NA,79.75,1,2,2,3,NA,NA,22,NA,1,15,4500.402,NA,0.52,0,10.187
Capreolus_pygargus,Capreolus_pygargus,Artiodactyla,Cervidae,Capreolus,pygargus,0,2,41371.03,1320,NA,NA,290,1,0.99,NA,2,NA,80,908.84,NA,NA,NA,136.1,1.64,NA,NA,4,NA,NA,41,NA,1,NA,8274.206,NA,0.99,0,1.489
Capricornis_crispus,Capricornis_crispus,Artiodactyla,Bovidae,Capricornis,crispus,0,NA,43030.64,NA,NA,NA,213,NA,0.11,547.5,1,222.96,1.98,988.23,NA,4,NA,59.27,1.72,1,2,4,1,2,43,2,0,15,8606.128,NA,0.11,0,3.135
Capricornis_swinhoei,Capricornis_swinhoei,Artiodactyla,Bovidae,Capricornis,swinhoei,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,25,NA,0,NA,NA,20,NA,0,2.39
Catagonus_wagneri,Catagonus_wagneri,Artiodactyla,Tayassuidae,Catagonus,wagneri,0,3,35566.4,1025.93,730,6,152.08,1,7,NA,2.47,108,9.24,821.58,5.75,8,2,60.37,1.4,NA,2,1,NA,NA,35,NA,0,15,7113.28,NA,7,0,1.317
Cephalophus_dorsalis,Cephalophus_dorsalis,Artiodactyla,Bovidae,Cephalophus,dorsalis,0,1,20000,849.99,760.41,4,238,1,0.27,NA,1,204.96,NA,547.46,1,4,2,NA,0.8,NA,NA,4,NA,NA,20,NA,0,15,4000,NA,0.27,0,0.52
Cephalophus_jentinki,Cephalophus_jentinki,Artiodactyla,Bovidae,Cephalophus,jentinki,0,1,68489.54,1349.99,NA,4,NA,NA,NA,NA,1,210,0.1,NA,NA,4,1,NA,2.72,NA,NA,4,NA,NA,68,NA,0,15,13697.908,NA,NA,0,0.596
Cephalophus_natalensis,Cephalophus_natalensis,Artiodactyla,Bovidae,Cephalophus,natalensis,0,3,12724.51,786.14,NA,4,212.97,1,0.06,235,1,180,6.92,NA,2,4,1,NA,0,NA,NA,4,NA,NA,12,NA,0,15,2544.902,NA,0.06,1,1.687
Cephalophus_niger,Cephalophus_niger,Artiodactyla,Bovidae,Cephalophus,niger,0,NA,19094.32,1041.8,NA,7,126,1,NA,NA,1,122.04,1.14,NA,NA,4,2,89.49,8,1,2,4,NA,1,190,2,0,15,3818.864,NA,NA,1,0.597
Cephalophus_nigrifrons,Cephalophus_nigrifrons,Artiodactyla,Bovidae,Cephalophus,nigrifrons,0,2,14676.33,944.21,NA,4,NA,1,NA,NA,NA,236.4,2,NA,NA,4,1,NA,0.56,NA,NA,4,NA,NA,14,NA,0,19,2935.266,NA,NA,1,5.59
Cephalophus_rufilatus,Cephalophus_rufilatus,Artiodactyla,Bovidae,Cephalophus,rufilatus,0,3,12114.57,650,794.63,5,233.99,1,NA,NA,1,114,3.18,NA,1,4,2,85.59,0.48,1,2,4,1,2,12,2,0,19,2422.914,NA,0.06,0,0.802
Cephalophus_silvicultor,Cephalophus_silvicultor,Artiodactyla,Bovidae,Cephalophus,silvicultor,0,2,62006.6,1324.76,NA,5,234.43,1,NA,306,1,207.96,0.5,NA,1,4,2,34.9,2.48,1,2,4,1,1,62,NA,0,19,12401.32,NA,2,1,0.426
Cephalophus_zebra,Cephalophus_zebra,Artiodactyla,Bovidae,Cephalophus,zebra,0,NA,15654.75,874.99,NA,3,223.89,1,NA,NA,1,146.04,NA,NA,NA,4,2,13.64,0.6,1,2,4,NA,NA,15,NA,0,19,3130.95,NA,NA,0,1.298
Ceratotherium_simum,Ceratotherium_simum,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,0,2,2285939.43,2586.81,2463.75,1,534.19,1,19.09,967.25,1,600,0.47,2741.23,NA,NA,1,365,45.7,NA,1,3,3,1,2285,NA,0,50,457187.886,24,19.09,1,0.284
Cervus_elaphus,Cervus_elaphus,Artiodactyla,Cervidae,Cervus,elaphus,0,2,240867.13,2136.72,993.71,5,235.61,1,58.42,NA,1.09,321.6,2.9,659.91,17.5,NA,1,104.64,9.6,2,2,3,2,2,240,1,0,20,48173.426,55,58.42,0,3.48
Cervus_nippon,Cervus_nippon,Artiodactyla,Cervidae,Cervus,nippon,0,2,52999.99,1200.51,1095,2,223.66,1,1.43,NA,1,305.04,0.75,518.12,7.5,4,1,197.7,2.08,2,2,3,2,2,52,2,1,25,10599.998,NA,1.43,0,4.329
Connochaetes_gnou,Connochaetes_gnou,Artiodactyla,Bovidae,Connochaetes,gnou,0,2,156547.53,1821.79,912.5,2,256.76,1,0.95,NA,1,240,34.62,965.63,26.75,2,1,111.57,6.24,2,1,3,2,2,156,2,0,19,31309.506,72,0.95,0,3.498
Connochaetes_taurinus,Connochaetes_taurinus,Artiodactyla,Bovidae,Connochaetes,taurinus,0,2,198619.68,2014.99,730,1,251.49,1,NA,365,0.98,258,7.99,841.82,20,2,1,256.32,7.92,2,2,3,2,2,198,1,0,19,39723.936,80,1.5,0,2.137
Dama_dama,Dama_dama,Artiodactyla,Cervidae,Dama,dama,0,2,57224.61,NA,1095,2,230,1,0.71,365,1,300,21.99,543.28,10.5,NA,1,177.63,2.28,1,2,3,2,2,57,1,1,25,11444.922,48,0.71,0,20.063
Damaliscus_lunatus,Damaliscus_lunatus,Artiodactyla,Bovidae,Damaliscus,lunatus,0,2,136000.33,1700,912.5,1,238,1,NA,NA,0.98,216,2.74,665.3,3.6,2,1,NA,5.44,2,1,3,NA,NA,136,2,0,25,27200.066,80,2,1,0.535
Damaliscus_pygargus,Damaliscus_pygargus,Artiodactyla,Bovidae,Damaliscus,pygargus,0,NA,77784.55,NA,1003.75,NA,240.54,NA,NA,365,1.41,260.04,24.56,620.76,NA,2,NA,121.66,3.08,2,1,2,NA,2,77,2,0,21,15556.91,NA,0.2,1,3.408
Diceros_bicornis,Diceros_bicornis,Perissodactyla,Rhinocerotidae,Diceros,bicornis,0,2,995940.54,2849.99,2053.12,2,466.24,1,11.48,1049.37,1,564,0.11,2199.16,1,NA,1,583.09,19.9,1,2,4,2,1,995,1,0,45,199188.108,55,11.48,1,0.212
Equus_africanus,Equus_asinus,Perissodactyla,Equidae,Equus,asinus,1,2,164998.49,NA,866.87,NA,367,1,139.69,NA,1,564,3.06,742.46,4.7,NA,NA,NA,2.46,2,2,3,2,1,164,1,0,47,32999.698,50,139.69,NA,NA
Equus_burchellii,Equus_burchellii,Perissodactyla,Equidae,Equus,burchellii,0,NA,279160.65,NA,1277.5,3,371.2,1,127.99,385,1,480,7,709.82,NA,NA,1,294.11,5.58,2,1,2,2,1,279,1,0,NA,55832.13,60,127.99,NA,NA
Equus_grevyi,Equus_grevyi,Perissodactyla,Equidae,Equus,grevyi,0,NA,408000.35,2700,1642.5,1,406,1,NA,NA,1,312,2.27,1341.92,NA,NA,1,271.7,8.16,1,1,1,2,1,408,1,0,28,81600.07,64,10,1,0.77
Equus_hemionus,Equus_hemionus,Perissodactyla,Equidae,Equus,hemionus,0,NA,235248.07,2250,1277.5,2,346,1,NA,547.5,1,465.6,0.69,1184.16,3,NA,1,456.25,9.4,2,2,2,1,2,235,NA,0,22,47049.614,69,9,0,0.672
Equus_kiang,Equus_kiang,Perissodactyla,Equidae,Equus,kiang,0,NA,281138.63,NA,NA,NA,260.76,1,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,5.62,2,1,1,2,2,281,1,0,26,56227.726,60,NA,0,0.667
Equus_przewalskii,Equus_caballus,Perissodactyla,Equidae,Equus,caballus,1,2,403598.53,NA,912.5,1,338.97,1,15.62,547.5,1,744,2.3,834.72,10.5,2,1,341.76,7.5,2,1,1,2,2,403,1,0,62,80719.706,48,15.62,NA,NA
Equus_zebra,Equus_zebra,Perissodactyla,Equidae,Equus,zebra,0,3,282462.13,2350,1633.37,2,363.49,1,7.4,653.95,1,288,1.32,963.17,13,NA,1,181.46,5.64,2,1,2,2,1,282,1,0,20,56492.426,64,7.4,1,0.803
Eudorcas_rufifrons,Eudorcas_rufifrons,Artiodactyla,Bovidae,Eudorcas,rufifrons,0,NA,26999.77,885,NA,NA,174.73,1,NA,NA,1,162,1.56,NA,NA,NA,NA,NA,1.04,NA,NA,1,NA,NA,26,NA,0,20,5399.954,NA,12,1,0.551
Eudorcas_thomsonii,Eudorcas_thomsonii,Artiodactyla,Bovidae,Eudorcas,thomsonii,0,2,22907.43,885,552.51,2,166.14,1,NA,193.9,1,182.04,12.53,418.38,NA,NA,1,93.25,0.88,2,2,1,2,1,22,2,0,20,4581.486,72.5,NA,1,3.427
Gazella_bennettii,Gazella_bennettii,Artiodactyla,Bovidae,Gazella,bennettii,0,NA,18916.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,1,2,4,3,2,18,1,0,NA,3783.334,NA,NA,0,1.565
Gazella_dorcas,Gazella_dorcas,Artiodactyla,Bovidae,Gazella,dorcas,0,2,15635.95,965.68,836.45,6,172,1,15.52,337.85,1.22,209.04,2.3,620.76,6.75,NA,2,61.35,0.6,2,1,2,2,2,15,1,0,20,3127.19,70,15.52,1,0.869
Gazella_gazella,Gazella_gazella,Artiodactyla,Bovidae,Gazella,gazella,0,2,21306.83,1012.85,547.5,3,180,1,1.46,228.12,1.22,219,0.4,485.11,7.2,NA,1,86.17,0.84,1,2,2,3,2,21,1,0,18,4261.366,80,1.46,1,3.71
Gazella_subgutturosa,Gazella_subgutturosa,Artiodactyla,Bovidae,Gazella,subgutturosa,0,2,26981.37,957.35,NA,3,159.68,1,NA,NA,1.39,240,0.64,413.84,5.5,4,1,116.41,7.8,1,2,3,2,2,26,1,1,15,5396.274,60,20,0,3.994
Giraffa_camelopardalis,Giraffa_camelopardalis,Artiodactyla,Giraffidae,Giraffa,camelopardalis,0,2,964654.73,4177.03,1825,5,455.25,1,81.52,608.33,1.29,435.6,1.23,1633.59,100,4,1,212.91,19.28,2,1,1,2,2,964,1,0,36,192930.946,55,81.52,1,0.497
Hemitragus_jemlahicus,Hemitragus_jemlahicus,Artiodactyla,Bovidae,Hemitragus,jemlahicus,0,NA,68616.43,NA,730,2,195.76,NA,NA,365,1.01,261.6,NA,1532.89,NA,3,1,NA,2.72,2,2,3,2,2,68,2,0,21,13723.286,NA,3,0,1.618
Hippocamelus_antisensis,Hippocamelus_antisensis,Artiodactyla,Cervidae,Hippocamelus,antisensis,0,NA,68599.35,1550,NA,2,235.72,1,NA,NA,1,127.2,1.2,NA,7.3,NA,1,NA,2.72,2,2,1,NA,2,68,NA,1,43,13719.87,NA,2,1,1.792
Hippocamelus_bisulcus,Hippocamelus_bisulcus,Artiodactyla,Cervidae,Hippocamelus,bisulcus,0,2,69240.81,1550,NA,2,212.91,1,0.86,NA,1,NA,1.12,NA,1.9,NA,1,NA,2.76,NA,NA,1,NA,NA,69,NA,1,NA,13848.162,NA,0.86,0,1.459
Hippopotamus_amphibius,Hippopotamus_amphibius,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,0,2,1536310.4,NA,1460,2,235.37,2,NA,696.54,1,654,4.86,2030,NA,NA,2,319.01,30.72,2,1,1,2,1,1536,1,0,NA,307262.08,30,NA,1,0.379
Hippotragus_equinus,Hippotragus_equinus,Artiodactyla,Bovidae,Hippotragus,equinus,0,3,264173.96,1150,1049.37,5,278.23,1,NA,317,0.98,240,0.96,841.82,12,4,1,119.27,5.28,2,1,2,2,1,264,1,0,43,52834.792,57,4,1,0.175
Hippotragus_niger,Hippotragus_niger,Artiodactyla,Bovidae,Hippotragus,niger,0,3,236405.9,2035,983.37,5,272.87,1,NA,365,1,267,1.3,972.17,15,4,1,210.73,9.4,2,1,2,2,2,236,2,0,22,47281.18,57,26,1,0.19
Hyemoschus_aquaticus,Hyemoschus_aquaticus,Artiodactyla,Tragulidae,Hyemoschus,aquaticus,0,1,10850,750,NA,1,173.52,1,0.2,NA,1.22,168,15.85,314.64,1,NA,1,136.87,0.4,NA,2,4,NA,NA,10,NA,0,13,2170,NA,0.2,NA,3.048
Hylochoerus_meinertzhageni,Hylochoerus_meinertzhageni,Artiodactyla,Suidae,Hylochoerus,meinertzhageni,0,2,198130.47,2028.75,532.29,2,151,1,NA,365,4,216,1.5,521.59,10,6,1,62.82,7.92,NA,2,1,NA,2,198,NA,0,18,39626.094,NA,10,1,0.671
Kobus_ellipsiprymnus,Kobus_ellipsiprymnus,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,0,2,204393.48,NA,NA,2,270,1,1.28,365,1,239.04,2.46,1426.44,12,4,1,212.91,8.16,2,1,1,NA,NA,204,2,1,18,40878.696,NA,1.28,1,0.327
Kobus_kob,Kobus_kob,Artiodactyla,Bovidae,Kobus,kob,0,NA,80035.21,1700,395.41,1,254.76,1,99.57,NA,1,263.04,2.6,465.57,40,4,1,188.64,3,2,1,1,NA,NA,80,2,1,21,16007.042,NA,99.57,1,0.854
Kobus_leche,Kobus_leche,Artiodactyla,Bovidae,Kobus,leche,0,2,88645.04,NA,638.75,2,229.8,2,NA,NA,1,222.96,31,925.38,20,4,1,133.45,3.52,2,1,3,NA,2,88,NA,1,15,17729.008,NA,NA,0,1.077
Kobus_megaceros,Kobus_megaceros,Artiodactyla,Bovidae,Kobus,megaceros,0,NA,85805.93,NA,NA,NA,NA,NA,NA,NA,NA,224.04,0.34,NA,NA,4,NA,NA,3.4,2,1,1,2,2,85,2,1,15,17161.186,NA,NA,1,0.394
Kobus_vardonii,Kobus_vardonii,Artiodactyla,Bovidae,Kobus,vardonii,0,2,71462.72,1340,NA,2,258.09,1,NA,365,1,NA,4.78,NA,5.5,4,1,212.91,2.84,1,2,3,2,1,71,1,1,NA,14292.544,NA,20,0,0.788
Lama_glama_guanicoe,Lama_glama,Artiodactyla,Camelidae,Lama,glama,1,3,78322.67,1595.1,NA,2,342.74,1,NA,NA,1,339.6,0.45,676.66,20,NA,1,131.7,5,2,1,2,2,1,78,1,0,15,15664.534,60,26,1,1.049
Litocranius_walleri,Litocranius_walleri,Artiodactyla,Bovidae,Litocranius,walleri,0,3,38804.37,1500,562.7,1,204.15,1,NA,240.77,1,156,0.43,841.82,8,NA,1,NA,2,1,2,3,2,2,38,2,1,13,7760.874,56,2.5,1,0.116
Madoqua_guentheri,Madoqua_guentheri,Artiodactyla,Bovidae,Madoqua,guentheri,0,3,4623.7,612.07,NA,6,175,1,0.03,NA,0.98,168,14.01,138.6,6.25,4,1,74.25,0.16,2,2,4,NA,NA,4,2,1,13,924.74,42,0.03,1,4.217
Madoqua_kirkii,Madoqua_kirkii,Artiodactyla,Bovidae,Madoqua,kirkii,0,2,4833.4,654.27,501.87,5,171.49,1,NA,182.5,0.98,198,19,233.47,2.5,4,1,42.58,0.16,2,2,4,1,2,4,2,1,14,966.68,42,0.18,1,2.294
Madoqua_saltiana,Madoqua_saltiana,Artiodactyla,Bovidae,Madoqua,saltiana,0,2,3424.47,595,NA,2,NA,NA,NA,NA,1,168,NA,253.75,1.5,4,1,41.99,136,2,2,4,NA,NA,3.4,2,1,14,684.894,NA,NA,NA,11.87
Mazama_americana,Mazama_americana,Artiodactyla,Cervidae,Mazama,americana,0,2,20546.86,NA,NA,2,225,1,NA,NA,1.22,165.6,9.3,NA,1,NA,1,NA,0.82,1,2,4,NA,1,20.5,NA,1,13,4109.372,NA,1,0,1.89
Mazama_gouazoubira,Mazama_gouazoubira,Artiodactyla,Cervidae,Mazama,gouazoubira,0,2,16633.17,918.25,NA,2,219.86,1,NA,NA,1,144,9.21,719.06,1,NA,1,NA,664,1,2,4,1,1,16.6,1,1,13,3326.634,NA,NA,0,4.356
Mazama_nana,Mazama_nana,Artiodactyla,Cervidae,Mazama,nana,0,NA,16499.85,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,4,NA,NA,16.5,NA,1,NA,3299.97,NA,NA,NA,4.873
Mazama_rufina,Mazama_rufina,Artiodactyla,Cervidae,Mazama,rufina,0,NA,21099.25,NA,NA,NA,231.64,1,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,844,NA,NA,4,NA,NA,21.1,NA,1,NA,4219.85,NA,NA,0,4.731
Muntiacus_muntjak,Muntiacus_muntjak,Artiodactyla,Cervidae,Muntiacus,muntjak,0,2,17611.59,994.99,NA,3,210,NA,NA,241,1,211.2,3.12,338.33,NA,NA,1,NA,0.7,1,2,4,NA,1,17.61,NA,1,17,3522.318,NA,NA,0,3.858
Muntiacus_reevesi,Muntiacus_reevesi,Artiodactyla,Cervidae,Muntiacus,reevesi,0,NA,13499.94,NA,NA,2,214.24,NA,0.12,215.25,0.98,NA,0.67,295.12,NA,NA,1,NA,0.54,1,2,4,2,1,13.49,1,1,19,2699.988,NA,0.16,0,4.568
Nanger_granti,Nanger_granti,Artiodactyla,Bovidae,Nanger,granti,0,2,55464.46,1529.99,NA,2,191.21,1,NA,NA,1,152.04,3.92,249.81,NA,NA,1,NA,2,2,1,1,2,1,55.46,2,0,19,11092.892,NA,290,1,0.735
Nanger_soemmerringii,Nanger_soemmerringii,Artiodactyla,Bovidae,Nanger,soemmerringii,0,3,41582.93,1360,802.23,NA,192.53,1,NA,NA,1,186,5.47,413.84,NA,NA,NA,NA,1.67,NA,NA,3,NA,NA,41.58,NA,0,19,8316.586,NA,NA,NA,1.404
Neotragus_batesi,Neotragus_batesi,Artiodactyla,Bovidae,Neotragus,batesi,0,2,2967.45,540,365,4,181.24,1,NA,NA,1,168,NA,366.52,NA,4,1,NA,0.12,1,2,4,NA,1,2.96,2,1,19,593.49,NA,0.03,0,15.643
Neotragus_pygmaeus,Neotragus_pygmaeus,Artiodactyla,Bovidae,Neotragus,pygmaeus,0,2,3913.68,499.99,NA,4,180,NA,NA,NA,1,168,NA,NA,2,4,1,NA,0.15,NA,NA,4,NA,NA,3.91,NA,1,13,782.736,NA,0.02,0,7.269
Odocoileus_hemionus,Odocoileus_hemionus,Artiodactyla,Cervidae,Odocoileus,hemionus,0,NA,84560.57,1516.5,547.5,2,203.49,1,2.01,365,1.61,264,16,527.12,NA,NA,1,73.49,1.9,2,2,3,NA,NA,84.56,NA,1,22,16912.114,30,2.01,0,6.366
Odocoileus_virginianus,Odocoileus_virginianus,Artiodactyla,Cervidae,Odocoileus,virginianus,0,2,75901.25,1513.69,463,4,201.39,1,1.99,304.16,1.57,276,17.32,365,2.25,4,1,79.92,1.7,2,1,3,2,2,75.9,1,1,23,15180.25,56,1.99,0,7.666
Oreamnos_americanus,Oreamnos_americanus,Artiodactyla,Bovidae,Oreamnos,americanus,0,2,72105.4,1297.33,1095,2,181.24,1,18.17,365,1.4,230.04,NA,964.59,3,4,1,84.86,2.89,2,1,1,2,2,72.1,2,0,19,14421.08,NA,18.17,1,1.249
