"","Domestication","X12.1_HabitatBreadth","X6.2_TrophicLevel","Sociality","SocialHierarchy","YearRoundBreeding","DevelopmentStrategy","HeadOrnaments"
"Aepyceros_melampus","0","1","1","0","1","0","0","1"
"Alcelaphus_buselaphus","0","1","1","0","1","0","0","0"
"Alces_alces","0","1","1","1","1","0","1","1"
"Ammotragus_lervia","0","1","1","0","1","0",NA,"0"
"Antidorcas_marsupialis","0","1","1","0","1",NA,"0","0"
"Antilocapra_americana","0","1","1","0","1","0","1","0"
"Antilope_cervicapra","0","1","1","0","1",NA,"1","1"
"Axis_axis","0",NA,NA,"0","1","0",NA,"1"
"Axis_porcinus","0",NA,"1","1","0","0","1","1"
"Bison_bison","0","0","1","0","1","0","1","0"
"Bison_bonasus","0","0","1","0","1","0","1","0"
"Blastocerus_dichotomus","0","1","1",NA,"0",NA,NA,"1"
"Bos_frontalis_gaurus","1",NA,"1","0","1","0","0","0"
"Bos_grunniens_mutus","1",NA,"1","0","1","0","0","0"
"Bos_javanicus","1","1","1","0","1","0","0","0"
"Bos_taurus_primigenius","1",NA,NA,"0","1","1","0","0"
"Boselaphus_tragocamelus","0",NA,"1","0","0",NA,"0","1"
"Bubalus_bubalis_arnee","1","1","1","0","1","1","1","0"
"Budorcas_taxicolor","0","1","1","1","0",NA,NA,"0"
"Camelus_bactrianus","1","1","1","0","1","0","1","0"
"Camelus_dromedarius","1","1","1","0","0","0","1","0"
"Capra_hircus_aegagrus","1",NA,"1","0","1","0","0","0"
"Capra_ibex","0","1","1","1","1","0","0","0"
"Capra_nubiana","0",NA,NA,"0","1","0","1","0"
"Capra_pyrenaica","0",NA,"1","0","1","0","0","0"
"Capra_sibirica","0",NA,NA,"0","1","0","0","0"
"Capreolus_capreolus","0","1",NA,"0","0",NA,NA,"1"
"Capreolus_pygargus","0","1",NA,NA,NA,NA,NA,"1"
"Capricornis_crispus","0",NA,NA,"1","0","0","0","0"
"Capricornis_swinhoei","0",NA,NA,NA,NA,NA,NA,"0"
"Catagonus_wagneri","0","1","0",NA,"0",NA,NA,"0"
"Cephalophus_dorsalis","0","1","0",NA,NA,NA,NA,"0"
"Cephalophus_jentinki","0",NA,"1",NA,NA,NA,NA,"0"
"Cephalophus_natalensis","0","1","1",NA,NA,NA,NA,"0"
"Cephalophus_niger","0","1","0","1","0","1","0","0"
"Cephalophus_nigrifrons","0","1","1",NA,NA,NA,NA,"0"
"Cephalophus_rufilatus","0","1","0","1","0","0","0","0"
"Cephalophus_silvicultor","0","1","0","1","0","1",NA,"0"
"Cephalophus_zebra","0","1","0","1","0",NA,NA,"0"
"Ceratotherium_simum","0","1","1",NA,"1","1",NA,"0"
"Cervus_elaphus","0","1","1","0","0","0","1","0"
"Cervus_nippon","0","1","1","0","0","0","0","1"
"Connochaetes_gnou","0","1","1","0","1","0","0","0"
"Connochaetes_taurinus","0","1","1","0","0","0","1","0"
"Dama_dama","0","1","1","1","0","0","1","1"
"Damaliscus_lunatus","0","1","1","0","1",NA,"0","0"
"Damaliscus_pygargus","0",NA,NA,"0","1","0","0","0"
"Diceros_bicornis","0","1","1","1","0","1","1","0"
"Equus_africanus","1","1",NA,"0","0","1","1","0"
"Equus_burchellii","0","1","1","0","1",NA,"1","0"
"Equus_grevyi","0","1","1","1","1","1","1","0"
"Equus_hemionus","0","1","1","0","0","0",NA,"0"
"Equus_kiang","0","1",NA,"0","1","0","1","0"
"Equus_przewalskii","1","1","1","0","1","0","1","0"
"Equus_zebra","0","1","1","0","1","1","1","0"
"Eudorcas_rufifrons","0","1",NA,NA,NA,NA,NA,"0"
"Eudorcas_thomsonii","0","1","1","0","0","1","0","0"
"Gazella_bennettii","0",NA,NA,"1","0","0","1","0"
"Gazella_dorcas","0","1","0","0","1","0","1","0"
"Gazella_gazella","0","1","1","1","0","0","1","0"
"Gazella_subgutturosa","0","1","1","1","0","0","1","1"
"Giraffa_camelopardalis","0","1","1","0","1","0","1","0"
"Hemitragus_jemlahicus","0",NA,"1","0","0","0","0","0"
"Hippocamelus_antisensis","0","1","1","0","0",NA,NA,"1"
"Hippocamelus_bisulcus","0","1","1",NA,NA,NA,NA,"1"
"Hippopotamus_amphibius","0","0","0","0","1","1","1","0"
"Hippotragus_equinus","0","1","1","0","1","1","1","0"
"Hippotragus_niger","0","1","1","0","1","0","0","0"
"Hyemoschus_aquaticus","0","1","1",NA,"0",NA,NA,"0"
"Hylochoerus_meinertzhageni","0","1","1",NA,"0",NA,NA,"0"
"Kobus_ellipsiprymnus","0","1","1","0","1",NA,"0","1"
"Kobus_kob","0","1","1","0","1",NA,"0","1"
"Kobus_leche","0","0","1","0","1",NA,NA,"1"
"Kobus_megaceros","0",NA,NA,"0","1","0","0","1"
"Kobus_vardonii","0","1","1","1","0","1","1","1"
"Lama_glama_guanicoe","1","1","1","0","1","1","1","0"
"Litocranius_walleri","0","1","1","1","0","0","0","1"
"Madoqua_guentheri","0","1","1","0","0",NA,"0","1"
"Madoqua_kirkii","0","1","1","0","0","0","0","1"
"Madoqua_saltiana","0",NA,"1","0","0",NA,"0","1"
"Mazama_americana","0","1","1","1","0","1",NA,"1"
"Mazama_gouazoubira","0","1","1","1","0","1","1","1"
"Mazama_nana","0","1",NA,NA,NA,NA,NA,"1"
"Mazama_rufina","0","1",NA,NA,NA,NA,NA,"1"
"Muntiacus_muntjak","0",NA,"1","1","0",NA,NA,"1"
"Muntiacus_reevesi","0",NA,"1","1","0","1","1","1"
"Nanger_granti","0","1","1","0","1","1","0","0"
"Nanger_soemmerringii","0","1",NA,NA,NA,NA,NA,"0"
"Neotragus_batesi","0","1","1","1","0",NA,"0","1"
"Neotragus_pygmaeus","0",NA,"1",NA,NA,NA,NA,"1"
"Odocoileus_hemionus","0","1","1","0","0",NA,NA,"1"
"Odocoileus_virginianus","0","1","1","0","1","0","1","1"
"Oreamnos_americanus","0","1","1","0","1","0","0","0"
"Oreotragus_oreotragus","0","1","1","0","0","0","1","0"
"Oryx_gazella","0","1","1","1","1","1","1","0"
"Oryx_leucoryx","0","1","1","1","1",NA,NA,"0"
